"COUNTRY","DEALERSHIP","CUSTOMER_TYPE","GEO_TYPE","MODEL","FAULT_TYPE"
"Austria","Re-Import","Corporate","Rural","Beetle","Turbo Charger"
"Austria","Re-Import","Corporate","Suburban","Beetle","Spark Plugs"
"Austria","Re-Import","Corporate","Suburban","Beetle","Turbo Charger"
"Austria","Re-Import","Corporate","Super Rural","Beetle","Turbo Charger"
"Austria","Re-Import","Corporate","Urban","Beetle","Turbo Charger"
"Austria","Re-Import","Corporate","Very Rural","Beetle","Turbo Charger"
"Austria","Re-Import","Corporate","Village","Beetle","Spark Plugs"
"Austria","Re-Import","Corporate","Village","Beetle","Turbo Charger"
"Belgium","Re-Import","Corporate","Rural","Beetle","Turbo Charger"
"Belgium","Re-Import","Corporate","Suburban","Beetle","Spark Plugs"
"Belgium","Re-Import","Corporate","Suburban","Beetle","Turbo Charger"
"Belgium","Re-Import","Corporate","Urban","Beetle","Spark Plugs"
"Belgium","Re-Import","Corporate","Urban","Beetle","Turbo Charger"
"Belgium","Re-Import","Corporate","Very Rural","Beetle","Turbo Charger"
"Belgium","Re-Import","Corporate","Village","Beetle","Turbo Charger"
"France","Re-Import","Corporate","Suburban","Beetle","Spark Plugs"
"France","Re-Import","Corporate","Suburban","Beetle","Turbo Charger"
"France","Re-Import","Corporate","Urban","Beetle","Turbo Charger"
"France","Re-Import","Corporate","Very Rural","Beetle","Turbo Charger"
"France","Re-Import","Corporate","Village","Beetle","Turbo Charger"
"Germany","Re-Import","Corporate","Suburban","Beetle","Turbo Charger"
"Germany","Re-Import","Corporate","Super Urban","Beetle","Spark Plugs"
"Germany","Re-Import","Corporate","Super Urban","Beetle","Turbo Charger"
"Germany","Re-Import","Corporate","Urban","Beetle","Spark Plugs"
"Germany","Re-Import","Corporate","Urban","Beetle","Turbo Charger"
"Holland","Re-Import","Corporate","Rural","Beetle","Turbo Charger"
"Holland","Re-Import","Corporate","Suburban","Beetle","Spark Plugs"
"Holland","Re-Import","Corporate","Suburban","Beetle","Turbo Charger"
"Holland","Re-Import","Corporate","Urban","Beetle","Turbo Charger"
"Holland","Re-Import","Corporate","Very Rural","Beetle","Turbo Charger"
"Holland","Re-Import","Corporate","Village","Beetle","Turbo Charger"
"Italy","Re-Import","Corporate","Village","Beetle","Turbo Charger"
"Portugal","Re-Import","Corporate","Rural","Beetle","Turbo Charger"
"Portugal","Re-Import","Corporate","Suburban","Beetle","Spark Plugs"
"Portugal","Re-Import","Corporate","Suburban","Beetle","Turbo Charger"
"Portugal","Re-Import","Corporate","Super Rural","Beetle","Turbo Charger"
"Portugal","Re-Import","Corporate","Urban","Beetle","Turbo Charger"
"Portugal","Re-Import","Corporate","Very Rural","Beetle","Turbo Charger"
"Portugal","Re-Import","Corporate","Village","Beetle","Turbo Charger"
"Spain","Re-Import","Corporate","Rural","Beetle","Turbo Charger"
"Spain","Re-Import","Corporate","Suburban","Beetle","Spark Plugs"
"Spain","Re-Import","Corporate","Suburban","Beetle","Turbo Charger"
"Spain","Re-Import","Corporate","Super Rural","Beetle","Turbo Charger"
"Spain","Re-Import","Corporate","Urban","Beetle","Turbo Charger"
"Spain","Re-Import","Corporate","Very Rural","Beetle","Turbo Charger"
"Spain","Re-Import","Corporate","Village","Beetle","Turbo Charger"
"Switzerland","Re-Import","Corporate","Rural","Beetle","Turbo Charger"
"Switzerland","Re-Import","Corporate","Suburban","Beetle","Spark Plugs"
"Switzerland","Re-Import","Corporate","Suburban","Beetle","Turbo Charger"
"Switzerland","Re-Import","Corporate","Urban","Beetle","Turbo Charger"
"Switzerland","Re-Import","Corporate","Very Rural","Beetle","Turbo Charger"
"Switzerland","Re-Import","Corporate","Village","Beetle","Turbo Charger"
"United Kingdom","Re-Import","Corporate","Rural","Beetle","Turbo Charger"
"United Kingdom","Re-Import","Corporate","Suburban","Beetle","Spark Plugs"
"United Kingdom","Re-Import","Corporate","Suburban","Beetle","Turbo Charger"
"United Kingdom","Re-Import","Corporate","Super Rural","Beetle","Turbo Charger"
"United Kingdom","Re-Import","Corporate","Urban","Beetle","Turbo Charger"
"United Kingdom","Re-Import","Corporate","Very Rural","Beetle","Turbo Charger"
"United Kingdom","Re-Import","Corporate","Village","Beetle","Turbo Charger"
"Austria","Re-Import","Private","Rural","Beetle","Turbo Charger"
"Austria","Re-Import","Private","Suburban","Beetle","Spark Plugs"
"Austria","Re-Import","Private","Suburban","Beetle","Turbo Charger"
"Austria","Re-Import","Private","Super Rural","Beetle","Turbo Charger"
"Austria","Re-Import","Private","Urban","Beetle","Turbo Charger"
"Austria","Re-Import","Private","Very Rural","Beetle","Turbo Charger"
"Austria","Re-Import","Private","Village","Beetle","Spark Plugs"
"Austria","Re-Import","Private","Village","Beetle","Turbo Charger"
"Belgium","Re-Import","Private","Rural","Beetle","Turbo Charger"
"Belgium","Re-Import","Private","Suburban","Beetle","Spark Plugs"
"Belgium","Re-Import","Private","Suburban","Beetle","Turbo Charger"
"Belgium","Re-Import","Private","Urban","Beetle","Spark Plugs"
"Belgium","Re-Import","Private","Urban","Beetle","Turbo Charger"
"Belgium","Re-Import","Private","Very Rural","Beetle","Turbo Charger"
"Belgium","Re-Import","Private","Village","Beetle","Turbo Charger"
"France","Re-Import","Private","Rural","Beetle","Turbo Charger"
"France","Re-Import","Private","Suburban","Beetle","Spark Plugs"
"France","Re-Import","Private","Suburban","Beetle","Turbo Charger"
"France","Re-Import","Private","Urban","Beetle","Spark Plugs"
"France","Re-Import","Private","Urban","Beetle","Turbo Charger"
"France","Re-Import","Private","Very Rural","Beetle","Turbo Charger"
"France","Re-Import","Private","Village","Beetle","Turbo Charger"
"Germany","Re-Import","Private","Suburban","Beetle","Turbo Charger"
"Germany","Re-Import","Private","Super Urban","Beetle","Turbo Charger"
"Germany","Re-Import","Private","Urban","Beetle","Spark Plugs"
"Germany","Re-Import","Private","Urban","Beetle","Turbo Charger"
"Holland","Re-Import","Private","Rural","Beetle","Turbo Charger"
"Holland","Re-Import","Private","Suburban","Beetle","Spark Plugs"
"Holland","Re-Import","Private","Suburban","Beetle","Turbo Charger"
"Holland","Re-Import","Private","Super Rural","Beetle","Turbo Charger"
"Holland","Re-Import","Private","Urban","Beetle","Turbo Charger"
"Holland","Re-Import","Private","Very Rural","Beetle","Spark Plugs"
"Holland","Re-Import","Private","Very Rural","Beetle","Turbo Charger"
"Holland","Re-Import","Private","Village","Beetle","Turbo Charger"
"Italy","Re-Import","Private","Village","Beetle","Turbo Charger"
"Portugal","Re-Import","Private","Rural","Beetle","Turbo Charger"
"Portugal","Re-Import","Private","Suburban","Beetle","Spark Plugs"
"Portugal","Re-Import","Private","Suburban","Beetle","Turbo Charger"
"Portugal","Re-Import","Private","Super Rural","Beetle","Turbo Charger"
"Portugal","Re-Import","Private","Urban","Beetle","Turbo Charger"
"Portugal","Re-Import","Private","Very Rural","Beetle","Turbo Charger"
"Portugal","Re-Import","Private","Village","Beetle","Spark Plugs"
"Portugal","Re-Import","Private","Village","Beetle","Turbo Charger"
"Spain","Re-Import","Private","Rural","Beetle","Turbo Charger"
"Spain","Re-Import","Private","Suburban","Beetle","Spark Plugs"
"Spain","Re-Import","Private","Suburban","Beetle","Turbo Charger"
"Spain","Re-Import","Private","Super Rural","Beetle","Turbo Charger"
"Spain","Re-Import","Private","Very Rural","Beetle","Turbo Charger"
"Spain","Re-Import","Private","Village","Beetle","Spark Plugs"
"Spain","Re-Import","Private","Village","Beetle","Turbo Charger"
"Switzerland","Re-Import","Private","Rural","Beetle","Turbo Charger"
"Switzerland","Re-Import","Private","Suburban","Beetle","Spark Plugs"
"Switzerland","Re-Import","Private","Suburban","Beetle","Turbo Charger"
"Switzerland","Re-Import","Private","Super Rural","Beetle","Turbo Charger"
"Switzerland","Re-Import","Private","Urban","Beetle","Turbo Charger"
"Switzerland","Re-Import","Private","Very Rural","Beetle","Turbo Charger"
"Switzerland","Re-Import","Private","Village","Beetle","Spark Plugs"
"Switzerland","Re-Import","Private","Village","Beetle","Turbo Charger"
"United Kingdom","Re-Import","Private","Rural","Beetle","Turbo Charger"
"United Kingdom","Re-Import","Private","Suburban","Beetle","Spark Plugs"
"United Kingdom","Re-Import","Private","Suburban","Beetle","Turbo Charger"
"United Kingdom","Re-Import","Private","Super Rural","Beetle","Turbo Charger"
"United Kingdom","Re-Import","Private","Urban","Beetle","Turbo Charger"
"United Kingdom","Re-Import","Private","Very Rural","Beetle","Turbo Charger"
"United Kingdom","Re-Import","Private","Village","Beetle","Turbo Charger"
"Austria","VW Dealer","Corporate","Rural","Beetle","Turbo Charger"
"Austria","VW Dealer","Corporate","Suburban","Beetle","Spark Plugs"
"Austria","VW Dealer","Corporate","Suburban","Beetle","Turbo Charger"
"Austria","VW Dealer","Corporate","Super Rural","Beetle","Turbo Charger"
"Austria","VW Dealer","Corporate","Urban","Beetle","Turbo Charger"
"Austria","VW Dealer","Corporate","Very Rural","Beetle","Turbo Charger"
"Austria","VW Dealer","Corporate","Village","Beetle","Turbo Charger"
"Belgium","VW Dealer","Corporate","Rural","Beetle","Turbo Charger"
"Belgium","VW Dealer","Corporate","Suburban","Beetle","Spark Plugs"
"Belgium","VW Dealer","Corporate","Suburban","Beetle","Turbo Charger"
"Belgium","VW Dealer","Corporate","Urban","Beetle","Spark Plugs"
"Belgium","VW Dealer","Corporate","Urban","Beetle","Turbo Charger"
"Belgium","VW Dealer","Corporate","Village","Beetle","Turbo Charger"
"France","VW Dealer","Corporate","Suburban","Beetle","Spark Plugs"
"France","VW Dealer","Corporate","Suburban","Beetle","Turbo Charger"
"France","VW Dealer","Corporate","Urban","Beetle","Turbo Charger"
"France","VW Dealer","Corporate","Village","Beetle","Turbo Charger"
"Germany","VW Dealer","Corporate","Suburban","Beetle","Turbo Charger"
"Germany","VW Dealer","Corporate","Super Urban","Beetle","Spark Plugs"
"Germany","VW Dealer","Corporate","Super Urban","Beetle","Turbo Charger"
"Germany","VW Dealer","Corporate","Urban","Beetle","Spark Plugs"
"Germany","VW Dealer","Corporate","Urban","Beetle","Turbo Charger"
"Holland","VW Dealer","Corporate","Rural","Beetle","Turbo Charger"
"Holland","VW Dealer","Corporate","Suburban","Beetle","Spark Plugs"
"Holland","VW Dealer","Corporate","Suburban","Beetle","Turbo Charger"
"Holland","VW Dealer","Corporate","Very Rural","Beetle","Turbo Charger"
"Holland","VW Dealer","Corporate","Village","Beetle","Turbo Charger"
"Portugal","VW Dealer","Corporate","Rural","Beetle","Turbo Charger"
"Portugal","VW Dealer","Corporate","Suburban","Beetle","Spark Plugs"
"Portugal","VW Dealer","Corporate","Suburban","Beetle","Turbo Charger"
"Portugal","VW Dealer","Corporate","Very Rural","Beetle","Turbo Charger"
"Portugal","VW Dealer","Corporate","Village","Beetle","Turbo Charger"
"Spain","VW Dealer","Corporate","Rural","Beetle","Turbo Charger"
"Spain","VW Dealer","Corporate","Suburban","Beetle","Spark Plugs"
"Spain","VW Dealer","Corporate","Suburban","Beetle","Turbo Charger"
"Spain","VW Dealer","Corporate","Super Rural","Beetle","Turbo Charger"
"Spain","VW Dealer","Corporate","Urban","Beetle","Turbo Charger"
"Spain","VW Dealer","Corporate","Very Rural","Beetle","Turbo Charger"
"Spain","VW Dealer","Corporate","Village","Beetle","Turbo Charger"
"Switzerland","VW Dealer","Corporate","Rural","Beetle","Turbo Charger"
"Switzerland","VW Dealer","Corporate","Suburban","Beetle","Spark Plugs"
"Switzerland","VW Dealer","Corporate","Suburban","Beetle","Turbo Charger"
"Switzerland","VW Dealer","Corporate","Super Rural","Beetle","Turbo Charger"
"Switzerland","VW Dealer","Corporate","Urban","Beetle","Turbo Charger"
"Switzerland","VW Dealer","Corporate","Very Rural","Beetle","Turbo Charger"
"Switzerland","VW Dealer","Corporate","Village","Beetle","Turbo Charger"
"United Kingdom","VW Dealer","Corporate","Rural","Beetle","Turbo Charger"
"United Kingdom","VW Dealer","Corporate","Suburban","Beetle","Turbo Charger"
"United Kingdom","VW Dealer","Corporate","Super Rural","Beetle","Turbo Charger"
"United Kingdom","VW Dealer","Corporate","Village","Beetle","Turbo Charger"
"Austria","VW Dealer","Private","Rural","Beetle","Spark Plugs"
"Austria","VW Dealer","Private","Rural","Beetle","Turbo Charger"
"Austria","VW Dealer","Private","Suburban","Beetle","Spark Plugs"
"Austria","VW Dealer","Private","Suburban","Beetle","Turbo Charger"
"Austria","VW Dealer","Private","Suburban","Beetle","Wheel Alignment"
"Austria","VW Dealer","Private","Super Rural","Beetle","Spark Plugs"
"Austria","VW Dealer","Private","Super Rural","Beetle","Turbo Charger"
"Austria","VW Dealer","Private","Urban","Beetle","Spark Plugs"
"Austria","VW Dealer","Private","Urban","Beetle","Turbo Charger"
"Austria","VW Dealer","Private","Very Rural","Beetle","Spark Plugs"
"Austria","VW Dealer","Private","Very Rural","Beetle","Turbo Charger"
"Austria","VW Dealer","Private","Village","Beetle","Spark Plugs"
"Austria","VW Dealer","Private","Village","Beetle","Turbo Charger"
"Belgium","VW Dealer","Private","Rural","Beetle","Spark Plugs"
"Belgium","VW Dealer","Private","Rural","Beetle","Turbo Charger"
"Belgium","VW Dealer","Private","Suburban","Beetle","Spark Plugs"
"Belgium","VW Dealer","Private","Suburban","Beetle","Turbo Charger"
"Belgium","VW Dealer","Private","Suburban","Beetle","Wheel Alignment"
"Belgium","VW Dealer","Private","Super Rural","Beetle","Turbo Charger"
"Belgium","VW Dealer","Private","Urban","Beetle","Spark Plugs"
"Belgium","VW Dealer","Private","Urban","Beetle","Turbo Charger"
"Belgium","VW Dealer","Private","Urban","Beetle","Wheel Alignment"
"Belgium","VW Dealer","Private","Very Rural","Beetle","Spark Plugs"
"Belgium","VW Dealer","Private","Very Rural","Beetle","Turbo Charger"
"Belgium","VW Dealer","Private","Village","Beetle","Spark Plugs"
"Belgium","VW Dealer","Private","Village","Beetle","Turbo Charger"
"France","VW Dealer","Private","Rural","Beetle","Spark Plugs"
"France","VW Dealer","Private","Rural","Beetle","Turbo Charger"
"France","VW Dealer","Private","Suburban","Beetle","Spark Plugs"
"France","VW Dealer","Private","Suburban","Beetle","Turbo Charger"
"France","VW Dealer","Private","Suburban","Beetle","Wheel Alignment"
"France","VW Dealer","Private","Super Rural","Beetle","Turbo Charger"
"France","VW Dealer","Private","Urban","Beetle","Spark Plugs"
"France","VW Dealer","Private","Urban","Beetle","Turbo Charger"
"France","VW Dealer","Private","Very Rural","Beetle","Turbo Charger"
"France","VW Dealer","Private","Village","Beetle","Spark Plugs"
"France","VW Dealer","Private","Village","Beetle","Turbo Charger"
"Germany","VW Dealer","Private","Suburban","Beetle","Spark Plugs"
"Germany","VW Dealer","Private","Suburban","Beetle","Turbo Charger"
"Germany","VW Dealer","Private","Super Urban","Beetle","Turbo Charger"
"Germany","VW Dealer","Private","Urban","Beetle","Spark Plugs"
"Germany","VW Dealer","Private","Urban","Beetle","Turbo Charger"
"Germany","VW Dealer","Private","Urban","Beetle","Wheel Alignment"
"Holland","VW Dealer","Private","Rural","Beetle","Spark Plugs"
"Holland","VW Dealer","Private","Rural","Beetle","Turbo Charger"
"Holland","VW Dealer","Private","Suburban","Beetle","Spark Plugs"
"Holland","VW Dealer","Private","Suburban","Beetle","Turbo Charger"
"Holland","VW Dealer","Private","Suburban","Beetle","Wheel Alignment"
"Holland","VW Dealer","Private","Super Rural","Beetle","Spark Plugs"
"Holland","VW Dealer","Private","Super Rural","Beetle","Turbo Charger"
"Holland","VW Dealer","Private","Urban","Beetle","Spark Plugs"
"Holland","VW Dealer","Private","Urban","Beetle","Turbo Charger"
"Holland","VW Dealer","Private","Very Rural","Beetle","Spark Plugs"
"Holland","VW Dealer","Private","Very Rural","Beetle","Turbo Charger"
"Holland","VW Dealer","Private","Village","Beetle","Spark Plugs"
"Holland","VW Dealer","Private","Village","Beetle","Turbo Charger"
"Italy","VW Dealer","Private","Rural","Beetle","Turbo Charger"
"Italy","VW Dealer","Private","Suburban","Beetle","Spark Plugs"
"Italy","VW Dealer","Private","Suburban","Beetle","Turbo Charger"
"Italy","VW Dealer","Private","Super Rural","Beetle","Turbo Charger"
"Italy","VW Dealer","Private","Very Rural","Beetle","Spark Plugs"
"Italy","VW Dealer","Private","Very Rural","Beetle","Turbo Charger"
"Italy","VW Dealer","Private","Village","Beetle","Spark Plugs"
"Italy","VW Dealer","Private","Village","Beetle","Turbo Charger"
"Portugal","VW Dealer","Private","Rural","Beetle","Spark Plugs"
"Portugal","VW Dealer","Private","Rural","Beetle","Turbo Charger"
"Portugal","VW Dealer","Private","Suburban","Beetle","Spark Plugs"
"Portugal","VW Dealer","Private","Suburban","Beetle","Turbo Charger"
"Portugal","VW Dealer","Private","Suburban","Beetle","Wheel Alignment"
"Portugal","VW Dealer","Private","Super Rural","Beetle","Spark Plugs"
"Portugal","VW Dealer","Private","Super Rural","Beetle","Turbo Charger"
"Portugal","VW Dealer","Private","Urban","Beetle","Turbo Charger"
"Portugal","VW Dealer","Private","Very Rural","Beetle","Spark Plugs"
"Portugal","VW Dealer","Private","Very Rural","Beetle","Turbo Charger"
"Portugal","VW Dealer","Private","Village","Beetle","Spark Plugs"
"Portugal","VW Dealer","Private","Village","Beetle","Turbo Charger"
"Spain","VW Dealer","Private","Rural","Beetle","Spark Plugs"
"Spain","VW Dealer","Private","Rural","Beetle","Turbo Charger"
"Spain","VW Dealer","Private","Suburban","Beetle","Spark Plugs"
"Spain","VW Dealer","Private","Suburban","Beetle","Turbo Charger"
"Spain","VW Dealer","Private","Super Rural","Beetle","Spark Plugs"
"Spain","VW Dealer","Private","Super Rural","Beetle","Turbo Charger"
"Spain","VW Dealer","Private","Urban","Beetle","Turbo Charger"
"Spain","VW Dealer","Private","Very Rural","Beetle","Spark Plugs"
"Spain","VW Dealer","Private","Very Rural","Beetle","Turbo Charger"
"Spain","VW Dealer","Private","Village","Beetle","Spark Plugs"
"Spain","VW Dealer","Private","Village","Beetle","Turbo Charger"
"Switzerland","VW Dealer","Private","Rural","Beetle","Spark Plugs"
"Switzerland","VW Dealer","Private","Rural","Beetle","Turbo Charger"
"Switzerland","VW Dealer","Private","Small Town","Beetle","Turbo Charger"
"Switzerland","VW Dealer","Private","Suburban","Beetle","Spark Plugs"
"Switzerland","VW Dealer","Private","Suburban","Beetle","Turbo Charger"
"Switzerland","VW Dealer","Private","Suburban","Beetle","Wheel Alignment"
"Switzerland","VW Dealer","Private","Super Rural","Beetle","Turbo Charger"
"Switzerland","VW Dealer","Private","Urban","Beetle","Spark Plugs"
"Switzerland","VW Dealer","Private","Urban","Beetle","Turbo Charger"
"Switzerland","VW Dealer","Private","Very Rural","Beetle","Spark Plugs"
"Switzerland","VW Dealer","Private","Very Rural","Beetle","Turbo Charger"
"Switzerland","VW Dealer","Private","Village","Beetle","Spark Plugs"
"Switzerland","VW Dealer","Private","Village","Beetle","Turbo Charger"
"Switzerland","VW Dealer","Private","Village","Beetle","Wheel Alignment"
"United Kingdom","VW Dealer","Private","Rural","Beetle","Spark Plugs"
"United Kingdom","VW Dealer","Private","Rural","Beetle","Turbo Charger"
"United Kingdom","VW Dealer","Private","Suburban","Beetle","Spark Plugs"
"United Kingdom","VW Dealer","Private","Suburban","Beetle","Turbo Charger"
"United Kingdom","VW Dealer","Private","Super Rural","Beetle","Spark Plugs"
"United Kingdom","VW Dealer","Private","Super Rural","Beetle","Turbo Charger"
"United Kingdom","VW Dealer","Private","Urban","Beetle","Spark Plugs"
"United Kingdom","VW Dealer","Private","Urban","Beetle","Turbo Charger"
"United Kingdom","VW Dealer","Private","Very Rural","Beetle","Spark Plugs"
"United Kingdom","VW Dealer","Private","Very Rural","Beetle","Turbo Charger"
"United Kingdom","VW Dealer","Private","Village","Beetle","Spark Plugs"
"United Kingdom","VW Dealer","Private","Village","Beetle","Turbo Charger"
"Austria","VW Franchise","Private","Suburban","Beetle","Turbo Charger"
"Belgium","VW Franchise","Private","Suburban","Beetle","Turbo Charger"
"France","VW Franchise","Private","Suburban","Beetle","Turbo Charger"
"Germany","VW Franchise","Private","Urban","Beetle","Turbo Charger"
"Holland","VW Franchise","Private","Suburban","Beetle","Turbo Charger"
"Portugal","VW Franchise","Private","Suburban","Beetle","Turbo Charger"
"Spain","VW Franchise","Private","Suburban","Beetle","Turbo Charger"
"Switzerland","VW Franchise","Private","Suburban","Beetle","Turbo Charger"
"United Kingdom","VW Franchise","Private","Suburban","Beetle","Turbo Charger"
"Austria","Re-Import","Private","Suburban","Golf","Brake Fluid"
"Austria","Re-Import","Private","Suburban","Golf","Turbo Charger"
"Belgium","Re-Import","Private","Suburban","Golf","Brake Fluid"
"Belgium","Re-Import","Private","Suburban","Golf","Engine Control"
"Belgium","Re-Import","Private","Suburban","Golf","Turbo Charger"
"Belgium","Re-Import","Private","Urban","Golf","Brake Fluid"
"Belgium","Re-Import","Private","Urban","Golf","Turbo Charger"
"France","Re-Import","Private","Suburban","Golf","Brake Fluid"
"France","Re-Import","Private","Suburban","Golf","Engine Control"
"France","Re-Import","Private","Suburban","Golf","Turbo Charger"
"Germany","Re-Import","Private","Urban","Golf","Brake Fluid"
"Germany","Re-Import","Private","Urban","Golf","Engine Control"
"Germany","Re-Import","Private","Urban","Golf","Turbo Charger"
"Holland","Re-Import","Private","Suburban","Golf","Brake Fluid"
"Holland","Re-Import","Private","Suburban","Golf","Engine Control"
"Holland","Re-Import","Private","Suburban","Golf","Turbo Charger"
"Portugal","Re-Import","Private","Suburban","Golf","Brake Fluid"
"Portugal","Re-Import","Private","Suburban","Golf","Engine Control"
"Portugal","Re-Import","Private","Suburban","Golf","Turbo Charger"
