VEHICLE_TYPE_CODE_2,BOROUGH,VEHICLE TYPE_CODE_1,CONTRIBUTING_FACTOR_VEHICLE_1
UNKNOWN,QUEENS,PASSENGER VEHICLE,Unspecified
TAXI,MANHATTAN,TAXI,Pavement Slippery
PASSENGER VEHICLE,BROOKLYN,VAN,Unspecified
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Alcohol Involvement
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Pavement Slippery
SPORT UTILITY / STATION WAGON,BROOKLYN,PASSENGER VEHICLE,Fatigued/Drowsy
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
SPORT UTILITY / STATION WAGON,BROOKLYN,SPORT UTILITY / STATION WAGON,Pavement Slippery
PASSENGER VEHICLE,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Unspecified
VAN,BROOKLYN,SPORT UTILITY / STATION WAGON,Unspecified
BICYCLE,MANHATTAN,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,BRONX,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Other Vehicular
UNKNOWN,QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Physical Disability
SPORT UTILITY / STATION WAGON,BROOKLYN,SPORT UTILITY / STATION WAGON,Turning Improperly
TAXI,BRONX,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Outside Car Distraction
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
PASSENGER VEHICLE,STATEN ISLAND,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Fatigued/Drowsy
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Driver Inexperience
LARGE COM VEH(6 OR MORE TIRES),QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Fatigued/Drowsy
SPORT UTILITY / STATION WAGON,BRONX,PASSENGER VEHICLE,Unspecified
SPORT UTILITY / STATION WAGON,BROOKLYN,PASSENGER VEHICLE,Backing Unsafely
