VEHICLE_TYPE_CODE_2,BOROUGH,VEHICLE TYPE_CODE_1,CONTRIBUTING_FACTOR_VEHICLE_1
UNKNOWN,QUEENS,PASSENGER VEHICLE,Unspecified
TAXI,MANHATTAN,TAXI,Pavement Slippery
PASSENGER VEHICLE,BROOKLYN,VAN,Unspecified
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Alcohol Involvement
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Pavement Slippery
SPORT UTILITY / STATION WAGON,BROOKLYN,PASSENGER VEHICLE,Fatigued/Drowsy
TAXI,MANHATTAN,OTHER,Turning Improperly
PASSENGER VEHICLE,QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
SPORT UTILITY / STATION WAGON,BROOKLYN,SPORT UTILITY / STATION WAGON,Pavement Slippery
UNKNOWN,QUEENS,SPORT UTILITY / STATION WAGON,Lost Consciousness
PASSENGER VEHICLE,STATEN ISLAND,SPORT UTILITY / STATION WAGON,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Unspecified
VAN,BROOKLYN,SPORT UTILITY / STATION WAGON,Unspecified
SPORT UTILITY / STATION WAGON,QUEENS,TAXI,Prescription Medication
TAXI,MANHATTAN,SMALL COM VEH(4 TIRES),Fatigued/Drowsy
BICYCLE,MANHATTAN,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,BRONX,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,MANHATTAN,PASSENGER VEHICLE,Other Vehicular
SPORT UTILITY / STATION WAGON,MANHATTAN,SPORT UTILITY / STATION WAGON,Alcohol Involvement
UNKNOWN,QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
PASSENGER VEHICLE,BROOKLYN,PASSENGER VEHICLE,Physical Disability
PASSENGER VEHICLE,BRONX,BICYCLE,Unspecified
SPORT UTILITY / STATION WAGON,BROOKLYN,SPORT UTILITY / STATION WAGON,Turning Improperly
TAXI,BRONX,PASSENGER VEHICLE,Unspecified
SMALL COM VEH(4 TIRES),MANHATTAN,TAXI,Unspecified
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Driver Inattention/Distraction
PASSENGER VEHICLE,QUEENS,PASSENGER VEHICLE,Outside Car Distraction
SPORT UTILITY / STATION WAGON,QUEENS,SPORT UTILITY / STATION WAGON,Unspecified
BICYCLE,BRONX,PASSENGER VEHICLE,Turning Improperly
PASSENGER VEHICLE,STATEN ISLAND,PASSENGER VEHICLE,Unspecified
PASSENGER VEHICLE,BROOKLYN,SPORT UTILITY / STATION WAGON,Unspecified
